Obs,NoChange.A,NoChange.B,uniar,dtip,dtgmpyq,dtmsmtq,dtlpnag,ipxmca,hsbp,lhmu25,ip,gmpyq,msmtq,lpnag,dipxmca,dhsbp,dlhmu25,dlhur,lhur
0.001914378,0,0.007988467,0.012484474,0.006189349,0.00316898,0.006983333,-0.000210017,0.005004324,0.01597559,0.005652005,0.012600271,0.009659089,0.011884292,0.01312494,0.013910434,0.010680529,0.011828426,0.016841263,0.014556382
0.004272252,0,0.005438905,0.006822532,0.004534535,0.001557238,0.006057071,-0.002624071,0.002047132,0.013171099,0.005573205,0.009599312,-0.008048272,0.011180611,0.008210248,0.010344221,0.00751851,0.008883553,0.011927797,0.008562904
0.004263297,0,0.002908552,0.002394005,0.003100311,-0.000193126,0.004697714,-0.003187731,0.001395036,0.003487357,0.004234949,0.011157823,0.002703294,0.00675461,0.008442668,0.002912684,0.00286929,0.005248983,0.006282983,0.000155503
0.006599046,0,0.002900314,0.002208822,0.000978119,-0.003364842,0.002126844,-0.003884307,0.00337497,0.001944138,0.006816013,0.010216145,0.003591226,0.009071739,0.014728422,0.003545628,0.002954202,0.005848586,0.005174165,0.004178059
-0.020192259,0,-0.021206937,-0.021559202,-0.026887088,-0.030889761,-0.027036628,-0.032043749,-0.025186912,-0.022363031,-0.01771392,-0.021451854,-0.017599823,-0.01604426,-0.014497394,-0.021272697,-0.022265024,-0.012635769,-0.015784269,-0.017653139
0.04717856,0,0.034401427,0.030282071,0.02600119,0.022039835,0.026547936,0.019660596,0.026010361,0.028978164,0.041157417,0.031103279,0.037006767,0.031315768,0.035011629,0.03074753,0.029152976,0.042616418,0.034692741,0.030492266
0.022704118,0,0.005366536,0.001595775,-0.00070922,-0.005511484,-0.000474906,-0.008396077,-0.001173614,8.53E-05,0.009507361,0.003796563,0.008968186,0.002153204,0.00604309,0.002729523,0.001940397,0.011031155,0.001910037,-0.001746926
0.024933272,0,0.002867818,0.002440131,-0.000323519,-0.004937533,0.000501395,-0.006340512,1.73E-05,0.000824713,0.008870741,0.001465898,0.006364944,0.002779278,0.008535589,0.002163839,0.001452345,0.003019936,0.004942735,0.001195282
0.029412122,0,0.000387616,0.002420447,-0.000890504,-0.006820294,-0.000282729,-0.005903487,-0.00037381,0.000136827,0.005916145,0.002335151,0.00411066,0.002197854,0.008824092,0.002465401,0.003549329,-3.37E-05,0.003587454,0.000720854
0.027085921,0,0.000385744,0.000997245,-0.002746544,-0.006366986,-0.002172187,-0.008120831,-0.002422613,-0.001757037,0.00789386,0.000235271,-0.001356864,0.000315724,0.002670392,0.000958217,0.001061939,-0.000697193,0.004530623,0.00109395
0.042702814,0,0.000383886,-0.002531354,-0.002245449,-0.005294661,-0.001011078,-0.007760265,-0.001742824,-0.006025578,0.000397185,-0.000786,0.001587697,-0.000949671,0.002521136,-0.001687737,-0.001899274,0.001858409,0.003521072,-0.000130681
0.013906381,0,-0.025777306,-0.021499094,-0.024419125,-0.028051337,-0.022742729,-0.031172525,-0.025371128,-0.025903237,-0.023650118,-0.020347259,-0.010984071,-0.020522676,-0.022749816,-0.021084194,-0.020106643,-0.020286433,-0.022163899,-0.023379115
0.049017731,0,0.002820394,0.006555947,0.000140656,-0.001813544,0.001975241,-0.002403667,0.003478635,0.00181489,0.005067818,0.008244901,0.022592825,0.007157953,0.010273921,0.007194239,0.006044711,0.010568498,0.008340564,0.004032375
0.02257906,0,-0.023161399,-0.016687587,-0.019967267,-0.021748131,-0.017417888,-0.02945194,-0.022440955,-0.020844287,-0.017527167,-0.015402474,0.008870533,-0.015514078,-0.016366405,-0.016166248,-0.017835721,-0.013347654,-0.013772291,-0.021677099
0.057369321,0,0.00522739,0.011109581,0.008321755,0.006227075,0.011207365,0.00329961,0.010240136,0.006796874,0.018302836,0.011981162,0.036389339,0.011741085,0.017235814,0.011527274,0.012792376,0.019049019,0.018009251,0.013424922
